species,M,overall_charge,no_O,cat_charge,no_cat,no_an,Tcr,Pcr
H,1.008,1,0,1,,,,
C,12.011,,0,,,,,
O,15.999,-2,0,,,,,
Na,22.99,,0,,,,,
Mg,24.305,,0,,,,,
Al,26.982,,0,,,,,
Si,28.085,,0,,,,,
P,30.974,,0,,,,,
S,32.06,,0,,,,,
K,39.098,,0,,,,,
Ca,40.078,,0,,,,,
Ti,47.867,,0,,,,,
Mn,54.938,,0,,,,,
Fe,55.845,,0,,,,,
SiO2,60.083,0,2,4,1,2,,
TiO2,79.865,0,2,3,1,2,,
Al2O3,101.961,0,3,3,2,3,,
Fe2O3,159.687,0,3,3,2,3,,
FeO1.5,79.8435,0,1.5,3,1,1.5,,
FeO,71.844,0,1,2,1,1,,
MnO,70.937,0,1,2,1,1,,
MgO,40.304,0,1,2,1,1,,
CaO,56.077,0,1,2,1,1,,
Na2O,61.979,0,1,1,2,1,,
K2O,94.195,0,1,1,2,1,,
P2O5,141.943,0,1,5,2,1,,
OH,17.007,-1,1,1,1,1,,
H2O,18.015,0,1,1,1,1,647.25,221.1925
H2S,34.076,0,0,1,1,1,373.55,90.0779
CO,28.01,0,1,2,1,1,133.15,34.9571
CO2,44.009,0,2,4,1,2,304.15,73.8659
CO3,60.008,-2,3,4,1,3,,
S2,64.12,0,0,,,,208.15,72.954
SO2,64.058,0,2,4,1,2,430.95,78.7295
SO3,80.057,0,3,6,1,3,,
SO4,96.056,-2,4,6,,4,,
OCS,60.07,0,1,,,,377.55,65.8612
O2,31.998,0,2,,,,154.75,50.7638
H2,2.016,0,0,,,,33.25,12.9696
CH4,16.043,0,0,,,,191.05,46.4069
Ar,39.948,,,,,,,
Ne,20.1797,,,,,,,