Sample,T_C,SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,Type,Place,Colour,Symbol,Size,reference,carbon dioxide,SiO2_sd,TiO2_sd,Al2O3_sd,FeOT_sd,MnO_sd,MgO_sd,CaO_sd,Na2O_sd,K2O_sd,P2O5_sd,H2O_sd,CO2ppm_sd,STppm_sd,Xppm_sd,Fe3FeT_sd,SiO2_sd_type,TiO2_sd_type,Al2O3_sd_type,FeOT_sd_type,MnO_sd_type,MgO_sd_type,CaO_sd_type,Na2O_sd_type,K2O_sd_type,P2O5_sd_type,H2O_sd_type,CO2ppm_sd_type,STppm_sd_type,Xppm_sd_type,Fe3FeT_sd_type
TN273-01D-01-01,1200,56.98,1.66,15.52,9.47,0.24,2.96,6.49,4.06,0.38,0.22,1.88,13,362.83,0,0.171,MG,"Mariana Trough, MG",grey,diamond,10,Brounce+2016 G3 17(10):4078-4091,Dixon95,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
TN273-02D-01-02,1200,56.92,1.54,15.53,9.35,0.18,3.43,6.96,3.72,0.38,0.23,1.61,31,314.04,0,0.207,MG,"Mariana Trough, MG",grey,diamond,10,Brounce+2016 G3 17(10):4078-4091,Dixon97,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-4,1200,45.45,0.65,17.27,10.19,0.23,5.54,12.32,1.75,0.35,0.1,6.02,189,1080.13,0,0.237,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Lesne11,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-9,1200,48.2,0.76,17.29,9.14,0.18,4.82,12.08,2.21,0.56,0.13,4.4,371,830.67,0,0.238,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,VES-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-15A,1200,47.72,0.81,16.73,10.67,0.22,5.66,11.33,2.31,0.61,0.16,3.5,449,1352.27,0,0.254,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,ETN-1,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-15B,1200,47.97,0.86,16.83,10.42,0.19,5.55,11.33,2.35,0.66,0.16,3.42,207,1369.75,0,0.242,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,PST-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr04-13,1200,50.94,0.8,16.72,8.83,0.2,4.86,10.16,2.73,0.83,0.19,3.47,405,976.9,0,0.217,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Sunset Crater,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr04-14,1200,48.7,0.78,18.6,9.31,0.17,5.35,12.06,2.08,0.58,0.15,1.96,142,1486.77,0,0.243,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,SFVF,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-4,1200,46.81,0.64,17.25,9.5,0.26,4.59,12.79,1.96,0.38,0.11,3.25,629,1170,0,0.247,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Erebus,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-7,1200,47.01,0.84,18.29,9.33,0.17,4.34,12.66,2.31,0.54,0.17,2.72,142,1404,0,0.22,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Vesuvius,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-10,1200,46.02,0.73,17.81,8.99,0.15,4.59,12.64,1.77,0.37,0.14,4.56,485,1577,0,0.27,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Etna,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-11,1200,46.81,0.76,17.66,9.1,0.21,4.62,12.42,2,0.43,0.12,3.49,419,1117,0,0.241,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Stromboli,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-12B,1200,46.43,0.73,17.85,10.18,0.23,4.05,12.61,2.11,0.48,0.09,3,431,1453,0,0.226,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Basanite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-13,1200,47.91,0.8,16.83,10.3,0.23,4.26,11.27,2.28,0.57,0.14,3.3,131,1007,0,0.232,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Leucite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-14,1200,46.49,0.68,17.53,9.83,0.18,5.24,11.66,2.01,0.46,0.13,3.63,457,1182,0,0.243,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,AH3 phonotephrite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-15,1200,46.06,0.61,17.63,9.45,0.21,4.47,13.5,1.72,0.38,0.12,4.25,903,1300,0,0.266,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,N72 Basalt,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-16,1200,45.97,0.66,17.21,10.67,0.22,5.36,12.07,2.09,0.42,0.14,4.36,549,1517,0,0.24,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Blank93,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-17,1200,49.55,0.81,16.69,8.7,0.18,3.97,10.79,2.38,0.86,0.29,4.21,400,1010,0,0.252,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Dixon95,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-1,1200,46.45,0.64,17.92,8.88,0.16,6.99,12.97,1.38,0.31,0.1,4.01,209,1005.35,0,0.258,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Dixon97,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-2,1200,50.47,1.02,16.34,10.87,0.16,5.16,8.76,2.67,1.07,0.2,3.1,182,576.95,0,0.197,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Lesne11,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-3,1200,49.68,0.82,17.13,8.38,0.2,5.61,11.1,2.09,0.74,0.16,3.88,453,664.49,0,0.243,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,VES-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-4,1200,48.46,0.8,17.54,8.56,0.18,6.55,11.62,1.59,0.47,0.11,3.9,363,1004.64,0,0.244,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,ETN-1,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-5,1200,45.99,0.55,16.88,8.56,0.18,7.06,14.22,1.55,0.44,0.11,4.14,808,1377.57,0,0.259,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,PST-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-7,1200,48.05,0.65,17.65,8.77,0.14,6.66,11.78,2.01,0.48,0.11,3.46,340,1167.55,0,0.244,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Sunset Crater,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-8,1200,46.25,0.54,18.16,8.91,0.18,6.92,12.98,1.7,0.38,0.09,3.64,296,1225.04,0,0.245,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,SFVF,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-9,1200,46.54,0.56,18.31,9.21,0.18,6.99,12.68,1.66,0.24,0.06,3.33,549,941.4,0,0.23,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Erebus,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-11,1200,46.28,0.61,18.57,9.05,0.21,6.38,13.06,1.63,0.32,0.09,3.47,1002,1275.66,0,0.221,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Vesuvius,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-12,1200,46.55,0.56,16.72,8.27,0.15,7.1,14.16,1.49,0.42,0.12,4.15,732,1313.23,0,0.237,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Etna,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-15,1200,47.73,0.63,14.2,8.58,0.17,7.4,14.51,1.54,0.48,0.12,4.32,525,1509.53,0,0.244,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Stromboli,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-16A,1200,43.97,0.7,19.09,9.36,0.22,6.76,13.28,1.46,0.37,0.11,4.32,999,1544.07,0,0.238,MI,Alamagan. Mariana MI,orange,star,15,Brounce+2014 J.Pet. 55:2513-2536.,Basanite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala03-1,1200,45.82,0.66,19.75,7.32,0.18,6.55,14.71,1.74,0.47,0.11,2.39,677,1143.63,0,0.212,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Leucite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-3,1200,48.14,0.64,15.78,9.26,0.22,7.06,13.93,1.58,0.22,0.06,2.86,234,1324.57,0,0.274,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,AH3 phonotephrite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-7,1200,47.36,0.63,14.81,9.05,0.17,7.01,14.04,1.51,0.23,0.05,4.82,964,1375.11,0,0.25,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,N72 Basalt,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-10,1200,47.57,0.67,16.22,9.57,0.22,6.73,13.27,1.61,0.23,0.05,3.66,283,1238.89,0,0.246,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Blank93,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-11,1200,48.37,0.68,15.71,9.03,0.19,6.49,13.12,1.67,0.42,0.12,3.92,554,1416.81,0,0.248,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Dixon95,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-13,1200,47.45,0.66,16.51,9.56,0.21,6.38,13.15,1.67,0.28,0.06,3.84,371,1326.97,0,0.253,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Dixon97,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-15,1200,48.19,0.75,15.8,9.33,0.17,6.4,13.55,1.69,0.36,0.08,3.41,506,1373.29,0,0.233,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Lesne11,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-17,1200,48.19,0.7,16.66,9.04,0.19,6.65,13.51,1.65,0.26,0.07,2.89,67,1206.48,0,0.234,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,VES-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-18,1200,48.76,0.69,15.13,8.9,0.17,7.23,13.82,1.57,0.26,0.08,3.21,60,1252.13,0,0.24,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,ETN-1,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-21,1200,48.86,0.77,16.1,9.28,0.16,6.52,13.38,1.59,0.35,0.14,2.62,109,1386.46,0,0.256,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,PST-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-22,1200,48.41,0.73,15.99,9.24,0.18,6.56,13.55,1.62,0.37,0.1,3.03,97,1386.63,0,0.237,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Sunset Crater,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-23,1200,48.86,0.68,15.83,8.92,0.15,6.71,14.27,1.34,0.23,0.08,2.73,111,1289.52,0,0.275,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,SFVF,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-24,1200,47.53,0.68,15.98,8.8,0.18,7.14,13.6,1.63,0.27,0.07,3.86,866,1240.03,0,0.258,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Erebus,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-25,1200,47.93,0.69,16.49,9.35,0.19,6.6,13.34,1.57,0.29,0.06,3.27,390,1288.1,0,0.281,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Vesuvius,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-27,1200,47.59,0.6,15.41,9.1,0.17,7.4,13.37,1.71,0.26,0.08,4.06,242,1493.19,0,0.218,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Etna,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-29,1200,47.71,0.59,15.04,8.83,0.17,7.18,13.94,1.73,0.26,0.07,4.18,727,1478.84,0,0.244,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Stromboli,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-30,1200,47.64,0.58,14.67,9.12,0.16,7.43,13.81,1.72,0.24,0.06,4.31,398,1450.67,0,0.223,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Basanite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-31A,1200,47.18,0.64,15.84,9.06,0.15,7.22,13.88,1.59,0.28,0.07,3.83,630,1484.12,0,0.245,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Leucite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-33,1200,47.89,0.75,16.74,9.43,0.18,5.92,11.58,2.14,0.63,0.17,4.17,1487,1343.58,0,0.195,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,AH3 phonotephrite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-34,1200,46.94,0.65,16,8.92,0.15,7.3,13.94,1.61,0.26,0.07,3.83,1109,1614.12,0,0.206,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,N72 Basalt,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Sari15-04-36,1200,48.18,0.65,16.37,9.48,0.18,6.35,12.68,1.71,0.29,0.07,3.79,264,1456.54,0,0.227,MI,"Sarigan, Mariana MI",steelblue,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Blank93,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A